n,x,y,val,dP,lab,xT,yT
0,-16.312594,6.14737,0,6348,0,NaN,NaN
1,-16.334251,6.170672,0,6343,0,NaN,NaN
2,-16.315302,6.191059,0,6343,0,NaN,NaN
3,-16.299057,6.193972,0,6343,0,NaN,NaN
4,-16.274685,6.211445,0,6343,0,NaN,NaN
5,-16.271976,6.228918,0,6344,0,NaN,NaN
6,-16.269268,6.214357,0,6346,0,NaN,NaN
7,-16.269268,6.188147,0,6348,1,NaN,NaN
8,-16.263851,6.164847,0,6350,1,NaN,NaN
9,-16.258433,6.176497,0,6349,1,NaN,NaN
10,-16.250306,6.193972,0,6348,1,NaN,NaN
11,-16.250306,6.208533,0,6347,1,NaN,NaN
12,-16.253015,6.211445,0,6347,1,NaN,NaN
13,-16.258433,6.211445,0,6344,1,NaN,NaN
14,-16.263851,6.214357,0,6340,1,NaN,NaN
15,-16.263851,6.211445,0,6334,1,NaN,NaN
16,-16.255724,6.193972,0,6332,1,NaN,NaN
17,-16.250306,6.176497,0,6332,1,NaN,NaN
18,-16.253015,6.167759,0,6329,1,NaN,NaN
19,-16.255724,6.17941,0,6325,1,NaN,NaN
20,-16.258433,6.188147,0,6320,1,NaN,NaN
21,-16.261142,6.202709,0,6320,1,NaN,NaN
22,-16.258433,6.217269,0,6311,1,NaN,NaN
23,-16.253015,6.205621,0,6301,1,NaN,NaN
24,-16.242179,6.176497,0,6292,1,NaN,NaN
25,-16.234051,6.14737,0,6293,1,NaN,NaN
26,-16.225922,6.14737,0,6298,1,NaN,NaN
27,-16.225922,6.161934,0,6303,1,NaN,NaN
28,-16.225922,6.173585,0,6307,1,NaN,NaN
29,-16.231341,6.199796,0,6308,1,NaN,NaN
30,-16.23676,6.205621,0,6306,1,NaN,NaN
31,-16.242179,6.211445,0,6303,1,NaN,NaN
32,-16.242179,6.202709,0,6300,1,NaN,NaN
33,-16.223212,6.193972,0,6297,1,NaN,NaN
34,-16.201532,6.188147,0,6296,1,NaN,NaN
35,-16.179846,6.17941,0,6295,1,NaN,NaN
36,-16.182557,6.170672,0,6295,1,NaN,NaN
37,-16.182557,6.173585,0,6298,1,NaN,NaN
38,-16.182557,6.17941,0,6301,1,NaN,NaN
39,-16.179846,6.182322,0,6297,1,NaN,NaN
40,-16.179846,6.182322,0,6286,1,NaN,NaN
