n,x,y,val,dP,lab,xT,yT
0,-16.074062,4.578949,0,2816,0,NaN,NaN
1,-16.098483,4.573093,0,2816,0,NaN,NaN
2,-16.128324,4.567237,0,2816,0,NaN,NaN
3,-16.122899,4.567237,0,2811,0,NaN,NaN
4,-16.090343,4.567237,0,2806,0,NaN,NaN
5,-16.057777,4.567237,0,2802,0,NaN,NaN
6,-16.063205,4.567237,0,2803,0,NaN,NaN
7,-16.063205,4.567237,0,2804,1,NaN,NaN
8,-16.06592,4.564309,0,2804,1,NaN,NaN
9,-16.071348,4.561381,0,2803,1,NaN,NaN
10,-16.082203,4.564309,0,2801,1,NaN,NaN
11,-16.09577,4.570165,0,2799,1,NaN,NaN
12,-16.090343,4.576021,0,2797,1,NaN,NaN
13,-16.074062,4.573093,0,2798,1,NaN,NaN
14,-16.052348,4.561381,0,2800,1,NaN,NaN
15,-16.046919,4.540885,0,2802,1,NaN,NaN
16,-16.046919,4.520387,0,2803,1,NaN,NaN
17,-16.046919,4.502817,0,2805,1,NaN,NaN
18,-16.044204,4.508673,0,2803,1,NaN,NaN
19,-16.03606,4.523315,0,2800,1,NaN,NaN
20,-16.03606,4.537957,0,2797,1,NaN,NaN
21,-16.038775,4.535028,0,2799,1,NaN,NaN
22,-16.044204,4.5321,0,2799,1,NaN,NaN
23,-16.044204,4.526244,0,2798,1,NaN,NaN
24,-16.03606,4.523315,0,2797,1,NaN,NaN
25,-16.03063,4.505745,0,2797,1,NaN,NaN
26,-16.022485,4.491102,0,2799,1,NaN,NaN
27,-16.022485,4.488174,0,2802,1,NaN,NaN
28,-16.019769,4.499888,0,2805,1,NaN,NaN
29,-16.017054,4.511602,0,2804,1,NaN,NaN
30,-16.022485,4.517459,0,2804,1,NaN,NaN
31,-16.0252,4.520387,0,2803,1,NaN,NaN
32,-16.022485,4.526244,0,2803,1,NaN,NaN
33,-16.017054,4.526244,0,2802,1,NaN,NaN
34,-16.011623,4.526244,0,2801,1,NaN,NaN
35,-16.014338,4.529172,0,2800,1,NaN,NaN
36,-16.019769,4.535028,0,2799,1,NaN,NaN
37,-16.014338,4.540885,0,2798,1,NaN,NaN
38,-16.006192,4.537957,0,2797,1,NaN,NaN
39,-15.998044,4.535028,0,2797,1,NaN,NaN
40,-15.998044,4.5321,0,2797,1,NaN,NaN
41,-16.00076,4.537957,0,2797,1,NaN,NaN
42,-16.011623,4.549669,0,2797,1,NaN,NaN
43,-16.022485,4.564309,0,2797,1,NaN,NaN
44,-16.03063,4.573093,0,2797,1,NaN,NaN
45,-16.03063,4.573093,0,2798,1,NaN,NaN
46,-16.03606,4.567237,0,2798,1,NaN,NaN
47,-16.038775,4.576021,0,2796,1,NaN,NaN
48,-16.027915,4.587732,0,2794,1,NaN,NaN
49,-16.014338,4.596516,0,2792,1,NaN,NaN
50,-16.003476,4.593588,0,2792,1,NaN,NaN
51,-16.003476,4.587732,0,2792,1,NaN,NaN
52,-16.006192,4.584805,0,2792,1,NaN,NaN
53,-16.003476,4.578949,0,2791,1,NaN,NaN
54,-16.00076,4.578949,0,2791,1,NaN,NaN
55,-15.995328,4.581877,0,2794,1,NaN,NaN
56,-15.98718,4.558453,0,2799,1,NaN,NaN
57,-15.965447,4.5321,0,2800,1,NaN,NaN
58,-15.946428,4.505745,0,2797,1,NaN,NaN
59,-15.93284,4.508673,0,2794,1,NaN,NaN
60,-15.927405,4.505745,0,2792,1,NaN,NaN
61,-15.924687,4.502817,0,2791,1,NaN,NaN
62,-15.919251,4.494031,0,2789,1,NaN,NaN
63,-15.921969,4.491102,0,2789,1,NaN,NaN
64,-15.921969,4.488174,0,2790,1,NaN,NaN
65,-15.924687,4.482317,0,2791,1,NaN,NaN
66,-15.924687,4.470602,0,2793,1,NaN,NaN
67,-15.927405,4.458887,0,2794,1,NaN,NaN
68,-15.927405,4.4501,0,2795,1,NaN,NaN
69,-15.930122,4.447171,0,2797,1,NaN,NaN
70,-15.930122,4.4501,0,2797,1,NaN,NaN
71,-15.916533,4.4501,0,2795,1,NaN,NaN
72,-15.900222,4.4501,0,2793,1,NaN,NaN
73,-15.889347,4.447171,0,2793,1,NaN,NaN
74,-15.892066,4.447171,0,2793,1,NaN,NaN
75,-15.897504,4.4501,0,2793,1,NaN,NaN
76,-15.900222,4.4501,0,2793,1,NaN,NaN
77,-15.902941,4.4501,0,2793,1,NaN,NaN
78,-15.892066,4.447171,0,2793,1,NaN,NaN
79,-15.870313,4.4501,0,2793,1,NaN,NaN
80,-15.848556,4.447171,0,2792,1,NaN,NaN
81,-15.851276,4.447171,0,2791,1,NaN,NaN
82,-15.859435,4.444242,0,2789,1,NaN,NaN
83,-15.856715,4.444242,0,2789,1,NaN,NaN
84,-15.845836,4.444242,0,2788,1,NaN,NaN
85,-15.837675,4.444242,0,2787,1,NaN,NaN
86,-15.843116,4.464744,0,2787,1,NaN,NaN
87,-15.851276,4.488174,0,2787,1,NaN,NaN
88,-15.848556,4.494031,0,2787,1,NaN,NaN
89,-15.843116,4.473531,0,2788,1,NaN,NaN
90,-15.837675,4.453029,0,2787,1,NaN,NaN
91,-15.837675,4.4501,0,2785,1,NaN,NaN
92,-15.837675,4.447171,0,2785,1,NaN,NaN
93,-15.845836,4.444242,0,2787,1,NaN,NaN
94,-15.851276,4.441313,0,2785,1,NaN,NaN
95,-15.840395,4.441313,0,2782,1,NaN,NaN
96,-15.826793,4.444242,0,2780,1,NaN,NaN
97,-15.821352,4.447171,0,2781,1,NaN,NaN
98,-15.829514,4.453029,0,2782,1,NaN,NaN
99,-15.837675,4.453029,0,2783,1,NaN,NaN
100,-15.837675,4.453029,0,2784,1,NaN,NaN
101,-15.840395,4.453029,0,2785,1,NaN,NaN
102,-15.821352,4.458887,0,2785,1,NaN,NaN
103,-15.805027,4.464744,0,2783,1,NaN,NaN
104,-15.794141,4.461816,0,2781,1,NaN,NaN
105,-15.802305,4.458887,0,2780,1,NaN,NaN
106,-15.807748,4.458887,0,2780,1,NaN,NaN
107,-15.810469,4.464744,0,2779,1,NaN,NaN
108,-15.807748,4.464744,0,2779,1,NaN,NaN
109,-15.807748,4.447171,0,2779,1,NaN,NaN
110,-15.807748,4.429597,0,2776,1,NaN,NaN
111,-15.805027,4.423739,0,2772,1,NaN,NaN
112,-15.802305,4.435455,0,2770,1,NaN,NaN
113,-15.799584,4.447171,0,2770,1,NaN,NaN
114,-15.794141,4.444242,0,2770,1,NaN,NaN
115,-15.79142,4.438384,0,2771,1,NaN,NaN
116,-15.785977,4.432526,0,2770,1,NaN,NaN
117,-15.783255,4.426668,0,2769,1,NaN,NaN
118,-15.780533,4.423739,0,2767,1,NaN,NaN
119,-15.780533,4.423739,0,2766,1,NaN,NaN
120,-15.775089,4.426668,0,2766,1,NaN,NaN
121,-15.769645,4.435455,0,2767,1,NaN,NaN
122,-15.758756,4.444242,0,2765,1,NaN,NaN
123,-15.750589,4.444242,0,2762,1,NaN,NaN
124,-15.745143,4.447171,0,2760,1,NaN,NaN
125,-15.753311,4.447171,0,2761,1,NaN,NaN
126,-15.761479,4.447171,0,2760,1,NaN,NaN
127,-15.772367,4.4501,0,2758,1,NaN,NaN
128,-15.775089,4.447171,0,2756,1,NaN,NaN
129,-15.780533,4.444242,0,2757,1,NaN,NaN
130,-15.785977,4.441313,0,2758,1,NaN,NaN
131,-15.788698,4.435455,0,2758,1,NaN,NaN
132,-15.783255,4.432526,0,2758,1,NaN,NaN
133,-15.780533,4.435455,0,2758,1,NaN,NaN
134,-15.780533,4.435455,0,2756,1,NaN,NaN
135,-15.775089,4.438384,0,2754,1,NaN,NaN
136,-15.769645,4.438384,0,2752,1,NaN,NaN
137,-15.761479,4.435455,0,2752,1,NaN,NaN
138,-15.758756,4.432526,0,2752,1,NaN,NaN
139,-15.745143,4.426668,0,2752,1,NaN,NaN
140,-15.74242,4.426668,0,2752,1,NaN,NaN
141,-15.736975,4.426668,0,2752,1,NaN,NaN
142,-15.74242,4.429597,0,2752,1,NaN,NaN
143,-15.736975,4.429597,0,2751,2,NaN,NaN
144,-15.709741,4.409093,0,2750,2,NaN,NaN
145,-15.649802,4.385659,0,2748,2,NaN,NaN
146,-15.592554,4.356363,0,2747,2,NaN,NaN
147,-15.507987,4.341715,0,2745,2,NaN,NaN
148,-15.417888,4.327066,0,2745,2,NaN,NaN
149,-15.2949,4.303626,0,2745,2,NaN,NaN
150,-15.130691,4.271394,0,2745,2,NaN,NaN
151,-14.957998,4.233299,0,2745,2,NaN,NaN
152,-14.749298,4.215715,0,2745,2,NaN,NaN
153,-14.606273,4.206923,0,2746,2,NaN,NaN
154,-14.449281,4.192268,0,2746,2,NaN,NaN
155,-14.341737,4.171752,0,2746,2,NaN,NaN
156,-14.211996,4.148302,0,2747,2,NaN,NaN
157,-14.14016,4.127783,0,2751,2,NaN,NaN
