n,x,y,val,dP,lab,xT,yT
0,-12.663384,8.076658,0,3235,0,NaN,NaN
1,-12.663384,8.076658,0,3235,0,NaN,NaN
2,-12.666182,8.079547,0,3235,0,NaN,NaN
3,-12.66898,8.079547,0,3235,0,NaN,NaN
4,-12.674576,8.079547,0,3234,0,NaN,NaN
5,-12.674576,8.079547,0,3234,0,NaN,NaN
6,-12.677373,8.079547,0,3234,0,NaN,NaN
7,-12.677373,8.082435,0,3236,1,NaN,NaN
8,-12.674576,8.082435,0,3237,1,NaN,NaN
9,-12.677373,8.088212,0,3238,1,NaN,NaN
10,-12.677373,8.082435,0,3239,1,NaN,NaN
11,-12.674576,8.07377,0,3241,1,NaN,NaN
12,-12.66898,8.067992,0,3244,1,NaN,NaN
13,-12.663384,8.070881,0,3245,1,NaN,NaN
14,-12.65499,8.076658,0,3245,1,NaN,NaN
15,-12.646596,8.082435,0,3242,1,NaN,NaN
16,-12.6382,8.079547,0,3239,1,NaN,NaN
17,-12.6382,8.082435,0,3236,1,NaN,NaN
18,-12.635402,8.085323,0,3234,1,NaN,NaN
19,-12.635402,8.088212,0,3232,1,NaN,NaN
20,-12.635402,8.085323,0,3232,1,NaN,NaN
21,-12.635402,8.085323,0,3234,1,NaN,NaN
22,-12.632603,8.085323,0,3235,1,NaN,NaN
23,-12.629805,8.079547,0,3236,1,NaN,NaN
24,-12.627006,8.067992,0,3237,1,NaN,NaN
25,-12.627006,8.062215,0,3237,1,NaN,NaN
26,-12.624207,8.065104,0,3237,1,NaN,NaN
27,-12.621408,8.070881,0,3237,1,NaN,NaN
28,-12.621408,8.07377,0,3236,1,NaN,NaN
29,-12.618609,8.067992,0,3235,1,NaN,NaN
30,-12.613012,8.062215,0,3234,1,NaN,NaN
31,-12.607413,8.056438,0,3234,1,NaN,NaN
32,-12.613012,8.056438,0,3235,1,NaN,NaN
33,-12.627006,8.053549,0,3234,1,NaN,NaN
34,-12.640999,8.059326,0,3233,1,NaN,NaN
35,-12.643797,8.067992,0,3232,1,NaN,NaN
36,-12.640999,8.076658,0,3233,1,NaN,NaN
37,-12.629805,8.079547,0,3234,1,NaN,NaN
38,-12.613012,8.082435,0,3236,1,NaN,NaN
39,-12.601815,8.085323,0,3237,1,NaN,NaN
40,-12.604614,8.085323,0,3235,1,NaN,NaN
41,-12.610212,8.088212,0,3232,1,NaN,NaN
42,-12.613012,8.088212,0,3231,1,NaN,NaN
43,-12.610212,8.082435,0,3233,1,NaN,NaN
44,-12.607413,8.076658,0,3235,1,NaN,NaN
