n,x,y,val,dP,lab,xT,yT
0,-13.974212,4.889165,0,4901,0,NaN,NaN
1,-13.960373,4.871613,0,4901,0,NaN,NaN
2,-13.932688,4.862836,0,4902,0,NaN,NaN
3,-13.902227,4.862836,0,4902,0,NaN,NaN
4,-13.863447,4.880389,0,4902,0,NaN,NaN
5,-13.824655,4.900865,0,4904,0,NaN,NaN
6,-13.783076,4.93304,0,4906,0,NaN,NaN
7,-13.749803,4.973986,0,4907,0,NaN,NaN
8,-13.719295,5.014926,0,4907,0,NaN,NaN
9,-13.688778,5.058785,0,4906,1,NaN,NaN
10,-13.669354,5.085097,0,4903,1,NaN,NaN
11,-13.658254,5.1231,0,4898,1,NaN,NaN
12,-13.655478,5.143562,0,4893,1,NaN,NaN
13,-13.655478,5.166945,0,4891,1,NaN,NaN
14,-13.666579,5.17279,0,4891,1,NaN,NaN
15,-13.680454,5.178635,0,4890,1,NaN,NaN
16,-13.697102,5.169867,0,4890,1,NaN,NaN
17,-13.716521,5.155253,0,4889,1,NaN,NaN
18,-13.73871,5.134793,0,4889,1,NaN,NaN
19,-13.766441,5.114331,0,4888,1,NaN,NaN
20,-13.785849,5.096791,0,4884,1,NaN,NaN
21,-13.808025,5.07925,0,4881,1,NaN,NaN
22,-13.821883,5.070479,0,4879,1,NaN,NaN
23,-13.832968,5.055861,0,4879,1,NaN,NaN
24,-13.832968,5.04709,0,4880,1,NaN,NaN
25,-13.83574,5.03247,0,4877,1,NaN,NaN
26,-13.838511,5.023698,0,4875,1,NaN,NaN
27,-13.841282,5.014926,0,4872,1,NaN,NaN
28,-13.841282,5.009078,0,4871,1,NaN,NaN
29,-13.841282,5.003229,0,4868,1,NaN,NaN
30,-13.838511,5.000305,0,4865,1,NaN,NaN
31,-13.83574,5.000305,0,4863,1,NaN,NaN
32,-13.83574,5.003229,0,4862,1,NaN,NaN
33,-13.838511,5.003229,0,4862,1,NaN,NaN
34,-13.832968,5.003229,0,4861,1,NaN,NaN
35,-13.830197,5.003229,0,4859,1,NaN,NaN
36,-13.824655,5.000305,0,4857,1,NaN,NaN
37,-13.824655,4.997381,0,4855,1,NaN,NaN
38,-13.824655,5.000305,0,4853,1,NaN,NaN
39,-13.824655,5.003229,0,4851,1,NaN,NaN
40,-13.824655,5.006153,0,4848,1,NaN,NaN
41,-13.821883,5.006153,0,4844,1,NaN,NaN
42,-13.819112,5.012002,0,4842,1,NaN,NaN
43,-13.813568,5.01785,0,4841,1,NaN,NaN
44,-13.813568,5.020774,0,4840,1,NaN,NaN
45,-13.81634,5.023698,0,4839,1,NaN,NaN
46,-13.824655,5.023698,0,4838,1,NaN,NaN
47,-13.832968,5.020774,0,4835,1,NaN,NaN
48,-13.838511,5.020774,0,4832,1,NaN,NaN
49,-13.838511,5.020774,0,4829,1,NaN,NaN
50,-13.838511,5.020774,0,4827,1,NaN,NaN
51,-13.838511,5.020774,0,4825,1,NaN,NaN
52,-13.838511,5.020774,0,4823,1,NaN,NaN
53,-13.838511,5.020774,0,4823,1,NaN,NaN
54,-13.841282,5.020774,0,4822,1,NaN,NaN
55,-13.844053,5.020774,0,4820,1,NaN,NaN
56,-13.841282,5.023698,0,4817,1,NaN,NaN
57,-13.83574,5.026622,0,4816,1,NaN,NaN
58,-13.83574,5.026622,0,4817,1,NaN,NaN
59,-13.838511,5.026622,0,4818,1,NaN,NaN
60,-13.846823,5.026622,0,4817,1,NaN,NaN
61,-13.852365,5.026622,0,4817,1,NaN,NaN
62,-13.857906,5.026622,0,4817,1,NaN,NaN
63,-13.860677,5.023698,0,4818,1,NaN,NaN
64,-13.866218,5.020774,0,4815,1,NaN,NaN
65,-13.874529,5.014926,0,4811,1,NaN,NaN
66,-13.880069,5.014926,0,4806,1,NaN,NaN
67,-13.877299,5.014926,0,4803,1,NaN,NaN
68,-13.874529,5.014926,0,4800,1,NaN,NaN
69,-13.871758,5.014926,0,4798,1,NaN,NaN
70,-13.871758,5.01785,0,4798,1,NaN,NaN
71,-13.871758,5.01785,0,4799,1,NaN,NaN
72,-13.868988,5.01785,0,4799,1,NaN,NaN
73,-13.868988,5.01785,0,4795,1,NaN,NaN
74,-13.874529,5.020774,0,4792,1,NaN,NaN
75,-13.877299,5.020774,0,4788,1,NaN,NaN
